측정소,측정일시,미세먼지(PM10),초미세먼지(PM2.5),오존(O3),이산화질소(NO2),일산화탄소(CO),아황산가스(SO2),PM10등급,PM25등급
중구,2026-03-20 15:00,45,27,0.051,0.020,0.3,0.003,2,2
한강대로,2026-03-20 15:00,70,28,0.047,0.021,0.5,0.003,2,2
종로구,2026-03-20 15:00,46,28,0.052,0.015,0.4,0.003,2,2
청계천로,2026-03-20 15:00,53,25,0.046,0.019,0.4,0.003,2,2
종로,2026-03-20 15:00,47,20,0.049,0.019,0.4,0.003,2,2
용산구,2026-03-20 15:00,-,-,-,-,-,-,,
광진구,2026-03-20 15:00,48,25,0.044,0.016,0.4,0.004,2,2
성동구,2026-03-20 15:00,52,27,0.051,0.021,0.3,0.003,2,2
강변북로,2026-03-20 15:00,61,26,0.041,0.031,0.4,0.003,2,2
중랑구,2026-03-20 15:00,44,24,0.050,0.016,0.3,0.003,2,2
동대문구,2026-03-20 15:00,47,24,0.050,0.014,0.3,0.003,2,2
홍릉로,2026-03-20 15:00,60,29,0.043,0.021,0.4,0.003,2,2
성북구,2026-03-20 15:00,51,27,0.045,0.013,0.4,0.003,2,2
정릉로,2026-03-20 15:00,47,23,0.047,0.026,0.4,0.002,2,2
도봉구,2026-03-20 15:00,-,-,-,-,-,-,,
은평구,2026-03-20 15:00,55,24,0.056,0.013,0.5,0.003,,2
서대문구,2026-03-20 15:00,46,24,0.060,0.015,0.4,0.003,2,2
마포구,2026-03-20 15:00,44,23,0.056,0.015,0.3,0.003,2,1
신촌로,2026-03-20 15:00,53,17,0.043,0.028,0.5,0.003,2,2
강서구,2026-03-20 15:00,44,21,0.052,0.017,0.3,0.003,2,2
공항대로,2026-03-20 15:00,54,17,0.048,0.020,0.3,0.003,2,1
구로구,2026-03-20 15:00,48,20,0.056,0.013,0.3,0.003,2,2
영등포구,2026-03-20 15:00,38,16,0.053,0.015,0.3,0.003,2,1
영등포로,2026-03-20 15:00,47,17,0.040,0.030,0.4,0.003,2,2
동작구,2026-03-20 15:00,38,18,0.059,0.013,0.3,0.003,2,1
동작대로 중앙차로,2026-03-20 15:00,47,23,0.046,0.028,0.4,0.003,2,2
관악구,2026-03-20 15:00,41,18,0.055,0.014,0.3,0.002,2,1
강남구,2026-03-20 15:00,-,-,-,-,-,-,,
서초구,2026-03-20 15:00,74,31,0.047,0.020,0.3,0.003,2,2
도산대로,2026-03-20 15:00,52,24,0.052,0.015,0.4,0.003,2,2
강남대로,2026-03-20 15:00,49,22,0.038,0.022,0.4,0.002,2,2
송파구,2026-03-20 15:00,48,36,0.052,0.016,0.3,0.003,2,2
강동구,2026-03-20 15:00,53,28,0.056,0.015,0.4,0.003,2,2
천호대로,2026-03-20 15:00,45,22,0.049,0.017,0.4,0.003,2,2
금천구,2026-03-20 15:00,47,26,0.060,0.014,0.4,0.003,2,2
시흥대로,2026-03-20 15:00,42,16,0.049,0.022,0.3,0.003,2,1
강북구,2026-03-20 15:00,43,21,0.058,0.011,0.3,0.002,2,2
양천구,2026-03-20 15:00,45,24,0.056,0.014,0.3,0.003,2,2
노원구,2026-03-20 15:00,44,29,0.057,0.012,0.3,0.003,2,2
화랑로,2026-03-20 15:00,52,24,0.041,0.031,0.4,0.003,2,2
